state,date,modal_price,normalized_price_per_kg,arrival_quantity,market_count,variety_count,record_count,price_lag_1,price_lag_7,price_lag_14,price_lag_30,price_rolling_mean_7,price_rolling_mean_30,price_rolling_std_7,price_rolling_std_30,arrival_lag_1,arrival_rolling_mean_7,arrival_rolling_mean_30,arrival_momentum_7,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,wind_speed_10m_max,shortwave_radiation_sum,et0_fao_evapotranspiration,relative_humidity_2m_mean,soil_moisture_0_to_7cm_mean,soil_moisture_7_to_28cm_mean,soil_temperature_0_to_7cm_mean,precipitation_rolling_sum_7,temp_rolling_mean_7,humidity_rolling_mean_7,soil_moisture_rolling_mean_7,year,month,day,iso_week,day_of_year,quarter,is_weekend,month_sin,month_cos,day_of_year_sin,day_of_year_cos,is_rabi_sowing_window,is_rabi_growth_window,is_rabi_harvest_window,is_procurement_window,target_next_day_price,target_next_7d_avg_price,created_at,wheat_yield_kg_per_hectare,wheat_production_million_tonnes,wheat_area_million_hectare,cpi_inflation_rate,policy_repo_rate,government_buffer_wheat_stock,government_buffer_wheat_stock_norm,wheat_central_pool_exports,global_wheat_benchmark_srw_usd_mt,global_wheat_benchmark_hrw_usd_mt,global_wheat_benchmark_avg_usd_mt,wheat_driver_composite_score,wheat_driver_domestic_score,wheat_driver_weather_score,wheat_driver_global_score,wheat_driver_policy_score,wheat_driver_price_adjustment_pct,msp_inr_quintal,cost_of_production_inr_quintal,margin_over_cost_percent,procurement_actual_lmt,procurement_estimated_lmt,progressive_area_sown_lakh_hectare,final_area_previous_season_lakh_hectare
Chattisgarh,2024-01-01,2380.0,23.800000000000004,12.2,1,1,1,,,,,,,,,,,,,20.2,26.9,14.3,0.0,0.0,8.2,16.32,3.07,73.0,0.243,0.268,21.3,,,,,2024,1,1,1,1,1,0,0.49999999999999994,0.8660254037844387,0.01716632975470737,0.9998526477050269,0,1,0,0,2251.0,2251.0,2026-04-06T08:06:59.079896Z,3521.0,110.6,31.4,5.64914318907925,,163.53,,0.0,247.861774719,283.91,265.88588735950003,62.650443,52.135456,66.106159,57.107922,45.734535,0.808223,2275.0,1128.0,102.0,,,,
Uttrakhand,2024-01-02,2175.0,21.75,1.6,1,1,1,2175.0,,,,,,,,10.0,,,,11.2,17.5,8.1,0.0,0.0,5.9,11.83,1.8,81.0,0.348,0.357,11.1,,,,,2024,1,2,1,2,1,0,0.49999999999999994,0.8660254037844387,0.034327600513243496,0.9994106342455052,0,1,0,0,2180.0,2177.5,2026-04-06T08:06:59.079896Z,3521.0,110.6,31.4,5.64914318907925,,163.53,,0.0,247.861774719,283.91,265.88588735950003,62.650443,52.135456,66.106159,57.107922,45.734535,0.808223,2275.0,1128.0,102.0,,,,
Bihar,2024-01-02,2537.378640776699,25.37378640776699,46.35,2,1,2,2550.0,,,,,,,,60.0,,,,15.0,21.6,9.0,0.0,0.0,9.4,12.27,2.08,82.0,0.246,0.269,15.2,,,,,2024,1,2,1,2,1,0,0.49999999999999994,0.8660254037844387,0.034327600513243496,0.9994106342455052,0,1,0,0,2550.0,2543.689320388349,2026-04-06T08:06:59.079896Z,3521.0,110.6,31.4,5.64914318907925,,163.53,,0.0,247.861774719,283.91,265.88588735950003,62.650443,52.135456,66.106159,57.107922,45.734535,0.808223,2275.0,1128.0,102.0,,,,
Gujarat,2024-01-02,2694.2129555595675,26.942129555595677,775.42,44,17,50,2749.0380642508107,,,,,,,,826.76,,,,20.3,27.5,15.4,0.0,0.0,11.6,15.36,3.18,73.0,0.165,0.186,22.2,,,,,2024,1,2,1,2,1,0,0.49999999999999994,0.8660254037844387,0.034327600513243496,0.9994106342455052,0,1,0,0,2720.968252514814,2707.590604037191,2026-04-06T08:06:59.079896Z,3521.0,110.6,31.4,5.64914318907925,,163.53,,0.0,247.861774719,283.91,265.88588735950003,62.650443,52.135456,66.106159,57.107922,45.734535,0.808223,2275.0,1128.0,102.0,,,,
West Bengal,2024-01-02,2338.545172146001,23.385451721460008,77.26,11,4,12,2333.0632325278543,,,,,,,,69.11,,,,16.1,22.9,11.4,0.0,0.0,9.7,14.74,2.62,78.0,0.221,0.252,18.0,,,,,2024,1,2,1,2,1,0,0.49999999999999994,0.8660254037844387,0.034327600513243496,0.9994106342455052,0,1,0,0,2592.430563179273,2465.4878676626367,2026-04-06T08:06:59.079896Z,3521.0,110.6,31.4,5.64914318907925,,163.53,,0.0,247.861774719,283.91,265.88588735950003,62.650443,52.135456,66.106159,57.107922,45.734535,0.808223,2275.0,1128.0,102.0,,,,
Uttar Pradesh,2024-01-02,2483.9316568551367,24.839316568551364,10565.8,105,1,105,2478.9462056978437,,,,,,,,13692.9,,,,13.4,19.1,8.1,0.0,0.0,8.6,13.17,2.02,84.0,0.239,0.252,15.4,,,,,2024,1,2,1,2,1,0,0.49999999999999994,0.8660254037844387,0.034327600513243496,0.9994106342455052,0,1,0,0,2484.519376835158,2484.2255168451475,2026-04-06T08:06:59.079896Z,3521.0,110.6,31.4,5.64914318907925,,163.53,,0.0,247.861774719,283.91,265.88588735950003,62.650443,52.135456,66.106159,57.107922,45.734535,0.808223,2275.0,1128.0,102.0,,,,
Maharashtra,2024-01-02,2806.3957783641163,28.06395778364116,379.0,51,5,53,2826.613247863248,,,,,,,,468.0,,,,21.1,28.5,14.1,0.0,0.0,10.7,16.41,3.57,61.0,0.287,0.3,21.8,,,,,2024,1,2,1,2,1,0,0.49999999999999994,0.8660254037844387,0.034327600513243496,0.9994106342455052,0,1,0,0,2845.5272206303725,2825.9614994972444,2026-04-06T08:06:59.079896Z,3521.0,110.6,31.4,5.64914318907925,,163.53,,0.0,247.861774719,283.91,265.88588735950003,62.650443,52.135456,66.106159,57.107922,45.734535,0.808223,2275.0,1128.0,102.0,,,,
Karnataka,2024-01-02,3886.5309734513276,38.865309734513275,113.0,6,6,7,4074.753012048193,,,,,,,,166.0,,,,22.8,28.6,18.0,0.0,0.0,14.0,18.67,4.15,61.0,0.134,0.192,23.7,,,,,2024,1,2,1,2,1,0,0.49999999999999994,0.8660254037844387,0.034327600513243496,0.9994106342455052,0,1,0,0,3993.2105263157896,3939.8707498835583,2026-04-06T08:06:59.079896Z,3521.0,110.6,31.4,5.64914318907925,,163.53,,0.0,247.861774719,283.91,265.88588735950003,62.650443,52.135456,66.106159,57.107922,45.734535,0.808223,2275.0,1128.0,102.0,,,,
Rajasthan,2024-01-02,2470.257530335475,24.70257530335475,700.5,37,5,38,2425.4862229102164,,,,,,,,646.0,,,,11.8,19.0,7.4,0.0,0.0,9.4,13.26,2.08,86.0,0.187,0.206,14.6,,,,,2024,1,2,1,2,1,0,0.49999999999999994,0.8660254037844387,0.034327600513243496,0.9994106342455052,0,1,0,0,2582.217824377458,2526.2376773564665,2026-04-06T08:06:59.079896Z,3521.0,110.6,31.4,5.64914318907925,,163.53,,0.0,247.861774719,283.91,265.88588735950003,62.650443,52.135456,66.106159,57.107922,45.734535,0.808223,2275.0,1128.0,102.0,,,,
Madhya Pradesh,2024-01-02,2449.731593827496,24.49731593827496,1480.479999,47,4,55,2485.1298515135427,,,,,,,,1332.059999,,,,19.0,25.9,14.1,0.0,0.0,12.6,14.66,2.77,81.0,0.308,0.321,20.0,,,,,2024,1,2,1,2,1,0,0.49999999999999994,0.8660254037844387,0.034327600513243496,0.9994106342455052,0,1,0,0,2367.879744097049,2408.8056689622726,2026-04-06T08:06:59.079896Z,3521.0,110.6,31.4,5.64914318907925,,163.53,,0.0,247.861774719,283.91,265.88588735950003,62.650443,52.135456,66.106159,57.107922,45.734535,0.808223,2275.0,1128.0,102.0,,,,
Karnataka,2024-01-03,3993.2105263157896,39.932105263157894,114.0,6,5,6,3886.5309734513276,,,,3984.8315039384365,,94.39035949391274,,113.0,131.0,,,22.5,28.6,17.8,0.0,0.0,14.7,16.1,3.61,64.0,0.137,0.19,23.5,0.0,22.400000000000002,61.666666666666664,0.13433333333333333,2024,1,3,1,3,1,0,0.49999999999999994,0.8660254037844387,0.05147875477034653,0.9986740898848305,0,1,0,0,4015.294117647059,3965.011872471392,2026-04-06T08:06:59.079896Z,3521.0,110.6,31.4,5.64914318907925,,163.53,,0.0,247.861774719,283.91,265.88588735950003,62.650443,52.135456,66.106159,57.107922,45.734535,0.808223,2275.0,1128.0,102.0,,,,
Uttrakhand,2024-01-03,2180.0,21.8,2.0,1,1,1,2175.0,,,,2176.6666666666665,,2.8867513459481944,,1.6,4.533333333333333,,,11.2,17.2,7.2,0.0,0.0,8.2,11.94,1.81,80.0,0.345,0.355,11.1,0.0,11.133333333333333,81.66666666666667,0.34800000000000003,2024,1,3,1,3,1,0,0.49999999999999994,0.8660254037844387,0.05147875477034653,0.9986740898848305,0,1,0,0,2309.800295857988,2221.6000986193294,2026-04-06T08:06:59.079896Z,3521.0,110.6,31.4,5.64914318907925,,163.53,,0.0,247.861774719,283.91,265.88588735950003,62.650443,52.135456,66.106159,57.107922,45.734535,0.808223,2275.0,1128.0,102.0,,,,
Uttar Pradesh,2024-01-03,2484.519376835158,24.845193768351578,8241.8,108,2,108,2483.9316568551367,,,,2482.4657464627126,,3.0621445247425125,,10565.8,10833.5,,,13.8,19.5,9.1,0.3,0.3,8.9,8.75,1.49,85.0,0.255,0.253,15.1,0.3,13.766666666666666,84.0,0.24466666666666667,2024,1,3,1,3,1,0,0.49999999999999994,0.8660254037844387,0.05147875477034653,0.9986740898848305,0,1,0,0,2474.288884880913,2480.9133061904026,2026-04-06T08:06:59.079896Z,3521.0,110.6,31.4,5.64914318907925,,163.53,,0.0,247.861774719,283.91,265.88588735950003,62.650443,52.135456,66.106159,57.107922,45.734535,0.808223,2275.0,1128.0,102.0,,,,
Chattisgarh,2024-01-03,2251.0,22.51,0.1,1,1,1,2380.0,,,,,,,,12.2,,,,20.1,26.8,14.6,0.0,0.0,8.7,16.51,3.21,69.0,0.239,0.266,21.1,,,,,2024,1,3,1,3,1,0,0.49999999999999994,0.8660254037844387,0.05147875477034653,0.9986740898848305,0,1,0,0,2404.44,2327.7200000000003,2026-04-06T08:06:59.079896Z,3521.0,110.6,31.4,5.64914318907925,,163.53,,0.0,247.861774719,283.91,265.88588735950003,62.650443,52.135456,66.106159,57.107922,45.734535,0.808223,2275.0,1128.0,102.0,,,,
Gujarat,2024-01-03,2720.968252514814,27.209682525148143,764.47,42,16,49,2694.2129555595675,,,,2721.4064241083975,,27.41518067623715,,775.42,788.8833333333333,,,19.1,26.6,14.7,0.0,0.0,11.1,15.6,3.24,69.0,0.177,0.191,21.2,0.0,19.933333333333334,71.66666666666667,0.16733333333333333,2024,1,3,1,3,1,0,0.49999999999999994,0.8660254037844387,0.05147875477034653,0.9986740898848305,0,1,0,0,2691.1922443860954,2702.124484153492,2026-04-06T08:06:59.079896Z,3521.0,110.6,31.4,5.64914318907925,,163.53,,0.0,247.861774719,283.91,265.88588735950003,62.650443,52.135456,66.106159,57.107922,45.734535,0.808223,2275.0,1128.0,102.0,,,,
Maharashtra,2024-01-03,2845.5272206303725,28.45527220630373,349.0,48,4,49,2806.3957783641163,,,,2826.178748952579,,19.569339167096683,,379.0,398.6666666666667,,,21.0,28.1,14.6,1.9,1.9,13.4,15.96,3.27,69.0,0.298,0.304,21.6,1.9,21.066666666666666,64.66666666666667,0.2893333333333333,2024,1,3,1,3,1,0,0.49999999999999994,0.8660254037844387,0.05147875477034653,0.9986740898848305,0,1,0,0,2818.182897862233,2823.3686322855738,2026-04-06T08:06:59.079896Z,3521.0,110.6,31.4,5.64914318907925,,163.53,,0.0,247.861774719,283.91,265.88588735950003,62.650443,52.135456,66.106159,57.107922,45.734535,0.808223,2275.0,1128.0,102.0,,,,
West Bengal,2024-01-03,2592.430563179273,25.924305631792734,91.09,12,4,13,2338.545172146001,,,,2421.3463226177096,,148.18864984164435,,77.26,79.15333333333334,,,17.5,24.2,11.3,0.0,0.0,9.0,14.75,2.58,75.0,0.221,0.252,17.7,0.0,17.099999999999998,78.0,0.22166666666666668,2024,1,3,1,3,1,0,0.49999999999999994,0.8660254037844387,0.05147875477034653,0.9986740898848305,0,1,0,0,2595.7705396208066,2508.915424982027,2026-04-06T08:06:59.079896Z,3521.0,110.6,31.4,5.64914318907925,,163.53,,0.0,247.861774719,283.91,265.88588735950003,62.650443,52.135456,66.106159,57.107922,45.734535,0.808223,2275.0,1128.0,102.0,,,,
Bihar,2024-01-03,2550.0,25.5,60.0,1,1,1,2537.378640776699,,,,2545.7928802588995,,7.286945145111863,,46.35,55.449999999999996,,,16.0,21.9,11.1,0.0,0.0,8.1,10.84,1.87,87.0,0.249,0.271,16.1,0.0,14.700000000000001,84.66666666666667,0.246,2024,1,3,1,3,1,0,0.49999999999999994,0.8660254037844387,0.05147875477034653,0.9986740898848305,0,1,0,0,2550.0,2545.7928802588995,2026-04-06T08:06:59.079896Z,3521.0,110.6,31.4,5.64914318907925,,163.53,,0.0,247.861774719,283.91,265.88588735950003,62.650443,52.135456,66.106159,57.107922,45.734535,0.808223,2275.0,1128.0,102.0,,,,
Rajasthan,2024-01-03,2582.217824377458,25.822178243774577,763.0,40,6,41,2470.257530335475,,,,2492.6538592077163,,80.7303869979375,,700.5,703.1666666666666,,,11.4,17.6,7.3,0.0,0.0,8.2,12.78,1.95,84.0,0.193,0.216,13.9,0.0,11.966666666666667,82.66666666666667,0.18466666666666667,2024,1,3,1,3,1,0,0.49999999999999994,0.8660254037844387,0.05147875477034653,0.9986740898848305,0,1,0,0,2502.046501972182,2518.1739522283715,2026-04-06T08:06:59.079896Z,3521.0,110.6,31.4,5.64914318907925,,163.53,,0.0,247.861774719,283.91,265.88588735950003,62.650443,52.135456,66.106159,57.107922,45.734535,0.808223,2275.0,1128.0,102.0,,,,
Madhya Pradesh,2024-01-03,2367.879744097049,23.678797440970484,2370.3599990000002,61,4,68,2449.731593827496,,,,2434.247063146029,,60.139212998789844,,1480.479999,1727.6333323333336,,,18.2,24.7,14.1,0.7,0.7,13.4,11.13,2.18,86.0,0.33,0.327,19.3,1.0,18.966666666666665,81.33333333333333,0.3096666666666667,2024,1,3,1,3,1,0,0.49999999999999994,0.8660254037844387,0.05147875477034653,0.9986740898848305,0,1,0,0,2431.5946474908314,2416.4019951384585,2026-04-06T08:06:59.079896Z,3521.0,110.6,31.4,5.64914318907925,,163.53,,0.0,247.861774719,283.91,265.88588735950003,62.650443,52.135456,66.106159,57.107922,45.734535,0.808223,2275.0,1128.0,102.0,,,,
Gujarat,2024-01-04,2691.1922443860954,26.911922443860952,1020.68,40,16,49,2720.968252514814,,,,2713.8528791778217,,27.005288094742514,,764.47,846.8325,,,18.4,26.0,13.9,0.0,0.0,14.5,15.87,3.35,65.0,0.185,0.196,20.2,0.0,19.55,70.0,0.17175,2024,1,4,1,4,1,0,0.49999999999999994,0.8660254037844387,0.06861473800213404,0.9976432316860063,0,1,0,0,2741.750457484446,2712.0309774862308,2026-04-06T08:06:59.079896Z,3521.0,110.6,31.4,5.64914318907925,,163.53,,0.0,247.861774719,283.91,265.88588735950003,62.650443,52.135456,66.106159,57.107922,45.734535,0.808223,2275.0,1128.0,102.0,,,,
West Bengal,2024-01-04,2595.7705396208066,25.957705396208066,102.85,12,4,13,2592.430563179273,,,,2464.952376868484,,149.15049166489146,,91.09,85.0775,,,18.0,24.9,12.1,0.0,0.0,8.7,14.12,2.54,79.0,0.219,0.25,18.4,0.0,17.325,78.25,0.221,2024,1,4,1,4,1,0,0.49999999999999994,0.8660254037844387,0.06861473800213404,0.9976432316860063,0,1,0,0,2532.6843198338524,2514.8576486949833,2026-04-06T08:06:59.079896Z,3521.0,110.6,31.4,5.64914318907925,,163.53,,0.0,247.861774719,283.91,265.88588735950003,62.650443,52.135456,66.106159,57.107922,45.734535,0.808223,2275.0,1128.0,102.0,,,,
Rajasthan,2024-01-04,2502.046501972182,25.020465019721815,481.7,35,8,36,2582.217824377458,,,,2495.0020198988327,,66.0831725258636,,763.0,647.8,,,11.0,18.1,6.4,0.0,0.0,7.4,13.33,2.05,84.0,0.197,0.216,13.7,0.0,11.725,83.0,0.18775,2024,1,4,1,4,1,0,0.49999999999999994,0.8660254037844387,0.06861473800213404,0.9976432316860063,0,1,0,0,2574.937388193202,2532.364811219579,2026-04-06T08:06:59.079896Z,3521.0,110.6,31.4,5.64914318907925,,163.53,,0.0,247.861774719,283.91,265.88588735950003,62.650443,52.135456,66.106159,57.107922,45.734535,0.808223,2275.0,1128.0,102.0,,,,
Maharashtra,2024-01-04,2818.182897862233,28.181828978622327,421.0,54,5,57,2845.5272206303725,,,,2824.1797861799923,,16.47086616694225,,349.0,404.25,,,21.4,27.7,15.9,0.0,0.0,7.8,15.41,2.96,75.0,0.301,0.305,22.3,1.9,21.15,67.25,0.29225,2024,1,4,1,4,1,0,0.49999999999999994,0.8660254037844387,0.06861473800213404,0.9976432316860063,0,1,0,0,2819.5933333333332,2822.424807547514,2026-04-06T08:06:59.079896Z,3521.0,110.6,31.4,5.64914318907925,,163.53,,0.0,247.861774719,283.91,265.88588735950003,62.650443,52.135456,66.106159,57.107922,45.734535,0.808223,2275.0,1128.0,102.0,,,,
Uttar Pradesh,2024-01-04,2474.288884880913,24.74288884880913,9980.1,117,2,117,2484.519376835158,,,,2480.4215310672625,,4.7923291893313795,,8241.8,10620.15,,,14.9,21.1,10.6,9.9,9.9,9.3,12.63,2.08,86.0,0.336,0.269,15.9,10.200000000000001,14.05,84.5,0.2675,2024,1,4,1,4,1,0,0.49999999999999994,0.8660254037844387,0.06861473800213404,0.9976432316860063,0,1,0,0,2473.127931201147,2478.9669624430885,2026-04-06T08:06:59.079896Z,3521.0,110.6,31.4,5.64914318907925,,163.53,,0.0,247.861774719,283.91,265.88588735950003,62.650443,52.135456,66.106159,57.107922,45.734535,0.808223,2275.0,1128.0,102.0,,,,
Chattisgarh,2024-01-04,2404.44,24.0444,7.5,2,1,2,2251.0,,,,2345.146666666667,,82.44406912163751,,0.1,6.599999999999999,,,20.7,27.2,15.1,0.0,0.0,8.7,16.37,3.28,68.0,0.236,0.264,21.6,0.0,20.333333333333332,70.0,0.23933333333333331,2024,1,4,1,4,1,0,0.49999999999999994,0.8660254037844387,0.06861473800213404,0.9976432316860063,0,1,0,0,2614.1098265895957,2423.183275529865,2026-04-06T08:06:59.079896Z,3521.0,110.6,31.4,5.64914318907925,,163.53,,0.0,247.861774719,283.91,265.88588735950003,62.650443,52.135456,66.106159,57.107922,45.734535,0.808223,2275.0,1128.0,102.0,,,,
NCT of Delhi,2024-01-04,2600.0,26.000000000000004,20.8,1,1,1,2425.0,,,,,,,,7.5,,,,11.5,17.9,5.2,0.0,0.0,10.2,10.85,1.78,82.0,0.227,0.228,13.2,,,,,2024,1,4,1,4,1,0,0.49999999999999994,0.8660254037844387,0.06861473800213404,0.9976432316860063,0,1,0,0,2553.0,2576.5,2026-04-06T08:06:59.079896Z,3521.0,110.6,31.4,5.64914318907925,,163.53,,0.0,247.861774719,283.91,265.88588735950003,62.650443,52.135456,66.106159,57.107922,45.734535,0.808223,2275.0,1128.0,102.0,,,,
Madhya Pradesh,2024-01-04,2431.5946474908314,24.315946474908316,4885.920001,75,5,90,2367.879744097049,,,,2433.58395923223,,49.12136792962774,,2370.3599990000002,2517.2049995,,,17.7,21.6,15.2,6.2,6.2,11.0,9.28,1.71,89.0,0.386,0.333,18.5,7.2,18.65,83.25,0.32875,2024,1,4,1,4,1,0,0.49999999999999994,0.8660254037844387,0.06861473800213404,0.9976432316860063,0,1,0,0,2480.662310344192,2432.467073939892,2026-04-06T08:06:59.079896Z,3521.0,110.6,31.4,5.64914318907925,,163.53,,0.0,247.861774719,283.91,265.88588735950003,62.650443,52.135456,66.106159,57.107922,45.734535,0.808223,2275.0,1128.0,102.0,,,,
